from_gene	to_gene	combined_score
PRKDC	TRRAP	527
ARID1A	TRRAP	482
MRE11	TRRAP	484
ARID2	TRRAP	511
ATR	TRRAP	411
OFD1	TRRAP	639
DYNC1H1	TRRAP	485
CRX	TOPORS	528
TULP1	TOPORS	518
RPE65	TOPORS	459
LRAT	TOPORS	467
IMPDH1	TOPORS	612
RAPSN	MACF1	939
DPYSL5	CNTNAP2	780
ITPR1	CNTNAP2	635
OPHN1	CNTNAP2	461
FRMD4A	CNTNAP2	411
EXOC2	ARHGEF2	944
TUBB2B	ARHGEF2	803
TUBA1A	ARHGEF2	811
TUBB3	ARHGEF2	809
TUBB	ARHGEF2	809
TUBB4B	ARHGEF2	809
RAC1	ARHGEF2	970
PI4KA	KIF21A	426
TUBB2B	KIF21A	637
BUB1B	KIF21A	453
BUB1	KIF21A	468
PPFIBP1	KIF21A	817
